특	O
히	O
 	O
영	B-LC
동	I-LC
고	I-LC
속	I-LC
도	I-LC
로	I-LC
 	O
강	B-LC
릉	I-LC
 	O
방	O
향	O
 	O
문	B-LC
막	I-LC
휴	I-LC
게	I-LC
소	I-LC
에	O
서	O
 	O
만	B-LC
종	I-LC
분	I-LC
기	I-LC
점	I-LC
까	O
지	O
 	O
5	B-QT
k	I-QT
m	I-QT
 	O
구	O
간	O
에	O
는	O
 	O
승	O
용	O
차	O
 	O
전	O
용	O
 	O
임	O
시	O
 	O
갓	O
길	O
차	O
로	O
제	O
를	O
 	O
운	O
영	O
하	O
기	O
로	O
 	O
했	O
다	O
.	O



한	B-QT
군	I-QT
데	I-QT
서	O
 	O
필	O
름	O
을	O
 	O
너	O
무	O
 	O
낭	O
비	O
한	O
 	O
작	O
품	O
입	O
니	O
다	O
.	O



하	O
지	O
만	O
 	O
이	O
영	O
화	O
에	O
는	O
 	O
감	O
히	O
 	O
별	O
 	O
5	B-QT
개	I-QT
를	O
 	O
주	O
고	O
싶	O
다	O



이	O
번	O
 	O
만	O
남	O
을	O
 	O
토	O
대	O
로	O
 	O
삼	B-OG
성	I-OG
물	I-OG
산	I-OG
 	I-OG
건	I-OG
설	I-OG
부	I-OG
문	I-OG
 	I-OG
대	I-OG
학	I-OG
생	I-OG
기	I-OG
자	I-OG
단	I-OG
 	O
3	B-QT
기	I-QT
는	O
 	O
앞	O
으	O
로	O
 	O
5	B-DT
개	I-DT
월	I-DT
간	I-DT
 	O
활	O
약	O
을	O
 	O
펼	O
치	O
게	O
 	O
된	O
다	O
.	O



팀	O
 	O
조	O
연	O
들	O
의	O
 	O
탁	O
월	O
한	O
 	O
연	O
기	O
와	O
 	O
홍	B-PS
금	I-PS
보	I-PS
의	O
 	O
녹	O
슬	O
지	O
않	O
은	O
 	O
관	O
록	O
의	O
 	O
무	O
술	O
!	O



2	B-DT
0	I-DT
1	I-DT
3	I-DT
 	O
서	B-LC
울	I-LC
모	O
터	O
쇼	O
'	O
 	O
참	O
가	O
 	O
레	O
이	O
싱	O
모	O
델	O
 	O
허	B-PS
윤	I-PS
미	I-PS
 	O
씨	O
의	O
 	O
귀	O
요	O
미	O
 	O
셀	O
카	O
입	O
니	O
다	O
.	O



지	B-DT
난	I-DT
 	I-DT
2	I-DT
0	I-DT
여	I-DT
년	I-DT
 	O
간	O
 	O
취	O
해	O
진	O
 	O
안	B-OG
보	I-OG
리	I-OG
의	O
 	O
제	O
재	O
 	O
가	O
운	O
데	O
 	O
가	O
장	O
 	O
강	O
력	O
한	O
 	O
수	O
위	O
로	O
 	O
평	O
가	O
되	O
고	O
 	O
있	O
다	O
.	O



임	B-PS
시	I-PS
완	I-PS
 	O
보	B-PS
아	I-PS
 	O
커	O
플	O
 	O
최	B-PS
다	I-PS
니	I-PS
엘	I-PS
 	O
김	B-PS
지	I-PS
원	I-PS
 	O
커	O
플	O
 	O
보	O
러	O
 	O
가	O
자	O
 	O
연	O
장	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
~	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
